Name,Gender,Eye Color,Hair Color,Superpowers,Weakness,Alignment,Status,Identity,Race,Skin Color,Can_Fly,Has_Claws,Healing_Factor,Uses_Magic,Wears_Armor,Super_Strength,Telepathy,Super_Speed,Shoots_Webs,Vulnerable_to_Magic,Vulnerable_to_Physical,Vulnerable_to_Energy,Is_Marvel,Is_DC,Is_X_Men,Is_Avenger,Is_Batman_Family,Is_Spider_Man_Family,Is_Fantastic_Four
Spider-Man (Peter Parker),Male,Hazel,Brown,"'''Spider-Physiology:''' Spider-Man possesses the proportionate powers of a spider, granted to him by the bite of an irradiated common house spider (''Achaearanea tepidariorum'') that was apparently already mutated from prior exposure to certain frequencies of radiation and received a final, lethal dose during Peter's attendance of the exhibition. The radioactive complex mutagenic enzymes in the spider's blood that were transferred at the time of the bite triggered numerous body-wide mutagenic c","Ethyl Chloride pesticide, Memory disruption, Human vulnerability",Good,Living,Secret Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
Captain America (Steven Rogers),Male,Blue,Blond,"Superhuman strength & agility, Enhanced reflexes, Master shield combat","Human mortality, High velocity impact without shield",Good,Living,Public Identity,Human,White,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
"Wolverine (James \""Logan\"" Howlett)",Male,Blue,Black,"Accelerated healing factor, Adamantium claws, Superhuman senses, Retractable claws","Muramasa Blade, Carbonadium, Drowning",Neutral,Living,Public Identity,Mutant,White,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
"Iron Man (Anthony \""Tony\"" Stark)",Male,Blue,Black,"Powered armor suit, Energy repulsors, Flight, Genius intellect, Advanced HUD/Vision","EMP, Dependency on armor tech, Human body vulnerability",Good,Living,Public Identity,Human,White,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False
Thor (Thor Odinson),Male,Blue,Blond,"Mjolnir weather manipulation, Lightning projection, Superhuman strength, Flight, Asgardian durability","Vulnerability when deprived of Mjolnir, Magic, Celestial tier force",Good,Living,No Dual Identity,Asgardian,White,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
Benjamin Grimm (Earth-616),Male,Blue,Bald / No Hair,"The Thing received his powers when cosmic rays bombarded his body. He is extremely strong and durable. Nick Fury's intel classified him as power level 8. He is considered one of the strongest men on Earth, and was the strongest being in the galaxy that the Skrulls once could find. Based on her knowledge back then, Thundra regarded the Thing as the strongest male on the planet, while Kurrgo, before assimilating knowledge about the Hulk, reputed the Thing as the strongest creature on planet Earth.",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Reed Richards (Earth-616),Male,Brown,Brown,"Gifted superhuman powers by cosmic rays bombarding his body., ''':''' Mister Fantastic possesses the ability to convert the mass of his entire body into a highly malleable state at will. How his body's respiration and circulatory systems function at these distorted extremes is as yet unknown. Mister Fantastic can alter his form in a matter of seconds, often much less (depending on the complexity of the shape), and revert to his normal humanoid shape within a similar time. The greater the distanc",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Hulk (Robert Bruce Banner),Male,Green,Green,"Unlimited superhuman strength, Gamma radiation transformation, Rapid regeneration, Super leap","Calming down (returns to Bruce Banner), Anti-Gamma radiation, Telepathy",Good,Living,Public Identity,Human / Radiation,Green,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False
Scott Summers (Earth-616),Male,Brown,Brown,"Cyclops is an '''Alpha-Mutant''' according to Apocalypse, while Nick Fury's intelligence classified him as power level 7., ''' :''' Cyclops possesses the mutant ability to project a powerful beam of unheated concussive ruby-colored force from his eyes. Cyclops' powers initiate through foreign energies channeled from an entirely different plane of existence and channeled through his body into concussive blasts that are released from his eyes., Cyclops' mind has a particular psionic field that is ",Human mortality / Physical trauma,Neutral,Living,Public Identity,Human,White,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Jonathan Storm (Earth-616),Male,Blue,Blond,"thumb|right|Human Torch, ''':''' Johnny Storm has the superhuman ability to  energy and the physical ability to  his entire body, or portions of his body into a fiery, plasma-like state at will, becoming ''The Human Torch''. While the cells of a normal human body convert energy from foodstuffs into a form of energy usable by the body, adenosine triphosphate (ATP), the cosmic ray bombardment triggered a specific genetic code rearrangement that caused the Human Torch's ATP production sites to gene",Human mortality / Physical trauma,Good,Living,Public Identity,Human,White,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
